Field,series,Mean,Median,Min,Max,Variance,P2P_amplitude,Trend_slope,Spectral_centroid,Spectral_rolloff,Spectral_entropy,Strength_of_trend,Mean_crossing_rate,Median_crossing_rate,is_stationary
,kalimati_tarkari_dataset_36,45.92142609899619,47.5,13.5,175.0,207.40936785201427,161.5,0.0021990303519717,0.1103250046541653,0.4305988231221876,0.3687107527495453,3.072755530412567,0.0353185595567867,0.0571329639889196,True
,mechanical_gear_vibration_data_0,2.5215747964069,2.5214938246659275,2.5155806035131656,2.5283925841769097,1.4399107510104504e-06,0.0128119806637441,-1.2507771976849362e-08,0.0067683918644755,0.0,0.8416004093282362,0.7728686878717973,0.4315772630905236,0.4806592263690548,True
,mechanical_gear_vibration_data_1,2.5214732467105203,2.5214938246659275,2.510981432324249,2.5303636586199274,3.3166658804953976e-06,0.0193822262956784,8.962422451997811e-09,0.0107500844647773,0.0,0.8567085098378049,0.6407817502480172,0.5416616664666587,0.5745429817192688,True
,mechanical_gear_vibration_data_2,2.517583602182127,2.5175516770990765,2.498005203180245,2.540383289083527,1.5353027325486837e-05,0.042378085903282,2.0416769894753677e-09,0.0236747396547721,0.2374,0.8617505676109877,0.6468342273358589,0.546221848873955,0.5636625465018601,True
,mechanical_gear_vibration_data_3,2.5178492315791665,2.5177159332371777,2.477965974372946,2.5579587147331635,7.082428907819119e-05,0.0799927403602174,-2.863079169727712e-09,0.0462186694627502,0.39968,0.8313937555562403,0.6261547721453019,0.5850234009360374,0.5939837593503741,True
,mechanical_gear_vibration_data_4,2.522425486230863,2.522479361639994,2.488971122949714,2.550567179293929,3.612770361213328e-05,0.0615960563442152,6.482904270478133e-10,0.0311715095089025,0.31696,0.8798464917180558,0.7133586607792086,0.4826593063722549,0.4947797911916476,True
,mechanical_gear_vibration_data_5,2.522090623762155,2.5219865931488417,2.4513565273827225,2.5927810847413544,0.0002299065184185,0.1414245573586319,-6.369217206801224e-09,0.0693014283184388,0.4358,0.7725004895939377,0.6096422432371165,0.6032241289651586,0.6081443257730309,True
,mechanical_gear_vibration_data_6,2.521845010925052,2.5218223369869546,2.5165661402896697,2.526914278431324,1.035366891692446e-06,0.0103481381416541,7.904845728700622e-09,0.0056809243044822,0.0,0.8466938138354402,0.7782425193761472,0.4364574582983319,0.5059402376095044,True
,mechanical_gear_vibration_data_7,2.5227560019093342,2.5228078739720075,2.5165661402896697,2.529542377585948,2.050484290186802e-06,0.0129762372962782,-4.941231176685675e-09,0.0082592929478937,0.0,0.8697912177136844,0.7497775709592226,0.4586983479339173,0.4995799831993279,True
,mechanical_gear_vibration_data_8,2.520364688660336,2.5203440315711623,2.499812019556057,2.5385764702225107,1.3878758670594338e-05,0.0387644506664535,-7.969584834121317e-09,0.0225508197452054,0.23092,0.8843802458273766,0.6708934883121812,0.5232609304372174,0.5426217048681947,True
,mechanical_gear_vibration_data_9,2.52028289618296,2.5203440315711623,2.48453621184048,2.550402922972084,4.434885872128131e-05,0.065866711131604,-3.201170382522716e-09,0.0383976591358315,0.35936,0.8460885858631402,0.6233569076598718,0.5757030281211248,0.5857834313372535,True
,mechanical_gear_vibration_data_10,2.521022712293058,2.521001056191252,2.4906136827874525,2.5512242045905427,3.361315332210514e-05,0.0606105218030901,3.405309196264427e-09,0.0300047403642932,0.28604,0.8532789512115445,0.719457080557979,0.4817792711708468,0.4923396935877435,True
,mechanical_gear_vibration_data_11,2.521194072609861,2.5214938246659275,2.467453597430531,2.5642004572296337,0.0001352202888445,0.0967468597991025,9.348149499418659e-10,0.0567210801424177,0.4068,0.7852893360647785,0.633885961657529,0.5686227449097964,0.5717428697147886,True
,mechanical_gear_vibration_data_12,2.519848188264959,2.519851263115703,2.503261396579133,2.543339902005453,1.4385556535139248e-06,0.0400785054263201,2.556582509338825e-09,0.0068684067754438,0.0,0.8559687926706222,0.7711235143099007,0.4270170806832273,0.4904196167846714,True
,mechanical_gear_vibration_data_13,2.520012549570622,2.5200155192666083,2.509338871358768,2.5298708899967868,3.2573764928824345e-06,0.0205320186380189,-1.2550444887382735e-09,0.0101018884502816,0.0,0.8565229264570341,0.7101575531603931,0.4920996839873595,0.531501260050402,False
,mechanical_gear_vibration_data_14,2.519261255329801,2.5193584946684777,2.473531064899745,2.5733988170331745,1.7732538590615146e-05,0.0998677521334294,-8.846144574293488e-10,0.0253440717820555,0.26352,0.8768873091555139,0.6609922504215193,0.531341253650146,0.5489819592783711,True
,mechanical_gear_vibration_data_15,2.51907399788394,2.5191942385212323,2.4602263404232465,2.57701245918156,8.44987094656712e-05,0.1167861187583136,-3.009423738660317e-09,0.0480097667047201,0.40544,0.7992733407248372,0.6423118696394937,0.5653826153046122,0.5733829353174127,True
,mechanical_gear_vibration_data_16,2.5180275344457974,2.518044445516121,2.4710672265878,2.5625578932851063,4.378245368007591e-05,0.0914906666973061,-3.659417693802092e-10,0.0376651945141589,0.37056,0.872630136374183,0.6367967393877022,0.5668226729069162,0.578103124124965,True
,mechanical_gear_vibration_data_17,2.5179888655506373,2.518044445516121,2.2503081191987784,2.769193179566924,0.0002544439343076,0.5188850603681456,-2.8022932681551723e-09,0.0804865287823838,0.4378,0.8310647178517007,0.5932961089033639,0.6195847833913356,0.625505020200808,True
,mechanical_gear_vibration_data_18,2.520709488389023,2.520672543879377,2.516401884157968,2.524614691863559,8.98365882542522e-07,0.0082128077055911,1.5711726282541773e-08,0.0051323581318079,0.0,0.8431391997386348,0.7841607056452321,0.438497539901596,0.5077003080123205,False
